Date,Open,High,Low,Close,Adj Close,Volume
2018-01-05,77.459999,77.660004,77.029999,77.620003,70.941795,16996200
2018-01-08,77.699997,77.989998,77.599998,77.940002,71.234261,5727500
2018-01-09,78.040001,78.639999,78.010002,78.440002,71.691261,8967700
2018-01-10,78.290001,78.690002,78.059998,78.430000,71.682114,11669500
2018-01-11,78.779999,79.459999,78.580002,79.430000,72.596077,9448300
2018-01-12,79.790001,80.250000,79.650002,80.169998,73.272400,7436200
2018-01-16,80.470001,80.599998,79.089996,79.449997,72.614342,13343700
2018-01-17,79.589996,79.970001,79.339996,79.889999,73.016510,7814300
2018-01-18,79.889999,80.110001,79.389999,79.459999,72.623489,7790400
2018-01-19,79.779999,79.790001,79.330002,79.690002,72.833702,8657700
2018-01-22,79.470001,79.709999,79.099998,79.690002,72.833702,12175300
2018-01-23,79.680000,79.809998,79.349998,79.730003,72.870262,8953800
2018-01-24,79.709999,80.080002,79.169998,79.660004,72.806282,9660000
2018-01-25,79.860001,79.980003,79.070000,79.739998,72.879395,12499200
2018-01-26,79.980003,80.660004,79.709999,80.660004,73.720245,8008300
2018-01-29,80.519997,80.959999,80.089996,80.120003,73.226723,12870300
2018-01-30,79.589996,79.860001,79.120003,79.489998,72.650894,16742400
2018-01-31,80.220001,80.519997,79.470001,79.730003,72.870262,15988100
2018-02-01,79.220001,80.269997,79.110001,79.589996,72.742287,14169300
2018-02-02,79.110001,79.239998,77.970001,77.989998,71.279938,17929500
2018-02-05,77.169998,78.180000,73.949997,74.449997,68.044540,30309100
2018-02-06,73.050003,76.029999,72.639999,75.809998,69.287521,31980600
2018-02-07,75.750000,77.150002,75.489998,75.949997,69.415474,22666800
2018-02-08,76.040001,76.160004,72.989998,73.019997,66.737556,27282100
2018-02-09,73.870003,74.430000,71.489998,73.809998,67.459595,40362500
2018-02-12,74.410004,75.540001,73.910004,75.000000,68.547211,20776900
2018-02-13,74.580002,75.379997,74.489998,75.169998,68.702576,12974600
2018-02-14,74.800003,76.209999,74.720001,76.120003,69.570854,13482800
2018-02-15,76.720001,77.269997,76.070000,77.269997,70.621918,10800400
2018-02-16,77.089996,78.070000,77.029999,77.290001,70.640198,11161700
2018-02-20,76.930000,77.279999,76.239998,76.510002,69.927299,11838900
2018-02-21,76.589996,77.930000,76.510002,76.529999,69.945580,8650500
2018-02-22,76.870003,77.739998,76.800003,77.040001,70.411697,10545200
2018-02-23,77.400002,77.720001,76.970001,77.680000,70.996635,6603300
2018-02-26,78.050003,78.879997,77.769997,78.750000,71.974579,8623300
2018-02-27,78.779999,79.279999,77.750000,77.760002,71.069763,11019300
2018-02-28,78.160004,78.269997,76.650002,76.650002,70.055252,16203900
2018-03-01,76.680000,77.239998,74.750000,75.150002,68.684296,35549400
2018-03-02,74.500000,75.349998,73.980003,75.129997,68.666023,27076400
2018-03-05,74.660004,76.220001,74.379997,76.029999,69.488602,23038400
2018-03-06,76.430000,76.570000,75.790001,76.370003,69.799339,18536300
2018-03-07,75.430000,76.529999,75.239998,76.360001,69.790207,13625400
2018-03-08,76.680000,76.830002,76.019997,76.760002,70.155777,10849100
2018-03-09,77.269997,78.449997,77.029999,78.449997,71.700386,13092600
2018-03-12,78.580002,78.580002,77.260002,77.480003,70.813843,11093600
2018-03-13,77.699997,78.099998,76.949997,77.099998,70.466522,11518800
2018-03-14,77.540001,77.540001,76.040001,76.260002,69.698784,11626200
2018-03-15,76.500000,76.919998,75.989998,76.480003,69.899872,8362700
2018-03-16,76.089996,76.849998,76.089996,76.580002,70.273376,10840000
2018-03-19,76.360001,76.389999,75.370003,75.989998,69.731956,10845700
