Date,Open,High,Low,Close,Adj Close,Volume
2018-01-05,65.949997,66.360001,65.820000,66.300003,62.604229,9678000
2018-01-08,66.269997,66.669998,66.230003,66.550003,62.840286,6733900
2018-01-09,66.680000,66.699997,66.269997,66.379997,62.679764,10606400
2018-01-10,66.019997,66.169998,65.830002,66.150002,62.462593,10407800
2018-01-11,66.300003,66.449997,66.139999,66.419998,62.717525,7887800
2018-01-12,66.339996,66.900002,66.250000,66.809998,63.085785,8154300
2018-01-16,67.220001,67.459999,66.379997,66.550003,62.840286,18221800
2018-01-17,66.930000,67.610001,66.709999,67.550003,63.784565,14688100
2018-01-18,67.550003,67.849998,67.489998,67.669998,63.897850,14922900
2018-01-19,67.800003,67.910004,67.449997,67.800003,64.020599,11947200
2018-01-22,67.750000,68.470001,67.610001,68.459999,64.643814,9002100
2018-01-23,68.680000,68.900002,68.540001,68.760002,64.927101,10230100
2018-01-24,68.940002,69.059998,68.000000,68.230003,64.426651,18509500
2018-01-25,68.660004,68.720001,67.940002,68.110001,64.313339,12975900
2018-01-26,68.580002,69.190002,68.430000,69.190002,65.333122,10048600
2018-01-29,68.989998,68.989998,68.470001,68.559998,64.738251,27589900
2018-01-30,68.000000,68.339996,67.760002,67.940002,64.152809,14831200
2018-01-31,68.339996,68.559998,68.000000,68.449997,64.634361,15067900
2018-02-01,68.199997,68.989998,68.190002,68.510002,64.691040,16325000
2018-02-02,67.739998,67.800003,66.470001,66.480003,62.774193,21964700
2018-02-05,65.769997,67.019997,63.669998,63.700001,60.149151,49279800
2018-02-06,62.840000,65.639999,62.480000,65.529999,61.877159,45134700
2018-02-07,65.370003,66.040001,64.690002,64.690002,61.083969,23712600
2018-02-08,64.870003,64.989998,61.990002,62.009998,58.553356,27814300
2018-02-09,63.009998,63.990002,60.970001,63.529999,59.988636,36350200
2018-02-12,64.209999,65.070000,63.740002,64.669998,61.065086,17814800
2018-02-13,64.300003,64.989998,64.110001,64.830002,61.216179,9542000
2018-02-14,64.470001,66.129997,64.430000,66.019997,62.339825,16058800
2018-02-15,66.650002,67.279999,65.870003,67.279999,63.529594,12152500
2018-02-16,67.080002,67.900002,67.010002,67.180000,63.435177,10167100
2018-02-20,66.839996,67.769997,66.769997,67.239998,63.491837,16917600
2018-02-21,67.500000,68.070000,66.800003,66.809998,63.085785,14551200
2018-02-22,67.040001,67.500000,66.699997,66.889999,63.161346,10979400
2018-02-23,67.440002,68.290001,67.279999,68.290001,64.483284,10386200
2018-02-26,68.580002,69.360001,68.580002,69.360001,65.493652,10797200
2018-02-27,69.389999,69.709999,68.660004,68.660004,64.832672,12790600
2018-02-28,69.050003,69.339996,68.160004,68.169998,64.369972,15232000
2018-03-01,68.330002,68.589996,66.529999,67.040001,63.302971,21486800
2018-03-02,66.279999,67.820000,66.099998,67.680000,63.907310,19196100
2018-03-05,67.360001,68.599998,67.209999,68.370003,64.558830,10888900
2018-03-06,68.760002,68.849998,68.220001,68.519997,64.700455,10151900
2018-03-07,68.010002,68.970001,68.010002,68.900002,65.059296,11109800
2018-03-08,69.110001,69.260002,68.769997,69.199997,65.342560,7624000
2018-03-09,69.690002,70.510002,69.599998,70.510002,66.579559,12342500
2018-03-12,70.720001,71.010002,70.529999,70.730003,66.787292,13506200
2018-03-13,71.089996,71.339996,69.680000,69.919998,66.022430,13809400
2018-03-14,70.269997,70.330002,69.510002,69.860001,65.965790,13881400
2018-03-15,69.879997,70.309998,69.559998,69.900002,66.003540,11501400
2018-03-16,69.800003,70.050003,69.519997,69.610001,65.935356,12202300
2018-03-19,68.959999,69.070000,67.669998,68.230003,64.628197,19868400
2018-03-20,68.059998,68.459999,67.820000,68.199997,64.599777,9382800
2018-03-21,68.050003,68.690002,67.610001,67.790001,64.211433,10933500
2018-03-22,66.970001,67.360001,65.989998,66.040001,62.553806,21195100
2018-03-23,66.000000,66.169998,64.250000,64.279999,60.886711,20950800
2018-03-26,65.589996,66.809998,64.680000,66.720001,63.197929,25125800
2018-03-27,67.129997,67.169998,64.080002,64.580002,61.170876,29748600
2018-03-28,64.430000,65.209999,63.770000,64.150002,60.763577,26811000
2018-03-29,64.610001,66.070000,64.160004,65.419998,61.966526,17684100
2018-04-02,65.160004,65.449997,63.150002,63.860001,60.488888,26017100
