Date,Open,High,Low,Close,Volume,Market Cap
Dec-17-2021,98.5001,115.36016239272324,98.4376,111.8073722653481,3588826502.2222223,25935412804.744316
Dec-16-2021,101.112,109.31196971707556,98.4793,98.7008,4340329412.444445,25393778431.023117
Dec-15-2021,87.23673226902399,104.47507518015794,86.6336,101.1754,2423289640.888889,22565443166.46446
Dec-14-2021,79.1672,87.25084216215689,76.7387,86.99837358154831,1481218703.609756,19537002230.71095
Dec-13-2021,88.11728403896068,89.85926888707212,76.0136,79.2224,1196847248.508834,20302628884.544983
Dec-12-2021,86.33957353652916,88.65618156867934,83.25640512845945,88.39738191854474,856001538.8888888,20842159719.71953
Dec-11-2021,80.7529,86.87902349970972,79.5691,86.35776246221134,1349775837.7777777,20229867452.073135
Dec-10-2021,85.61557890152292,91.68300144866068,81.2258,81.2258,1384510871.1916375,21104373287.06619
Dec-09-2021,93.24023604059184,94.53279069064943,83.65150349890573,86.46817058364826,1118768916.8888888,21730338081.141342
Dec-08-2021,89.7185409901201,93.06744872994716,87.01606829984738,93.00997948646628,1234225988.6666667,21915731110.193157
Dec-07-2021,93.3596671278656,96.48115116768524,88.4622,89.63390601243172,2232331838.6666665,22667417665.7843
Dec-06-2021,86.0947,94.70083759248732,77.6813,93.044522933521,1980739595.5555556,20713556974.72131
Dec-05-2021,93.01858329768386,94.78196018788938,82.9449,86.1088,2043823000.4444444,21517558251.387474
Dec-04-2021,108.1569,108.1569,80.3715,92.20640530038068,2766777445.7777777,22723158785.290756
Dec-03-2021,107.9588942139596,112.83408635834024,101.23345183586056,108.4652,1683296965.7777777,24177221625.781322
Dec-02-2021,119.6444,119.6444,107.72820051507183,107.72820051507183,1616812033.3333333,25866327730.54458
Dec-01-2021,120.55465860420703,127.1571,117.78885226303674,119.4594,2356584189.7777777,27722468091.50474
Nov-30-2021,120.36001335393608,124.5515,114.6496,120.99481504204498,2059077099.1111112,26797135740.089542
Nov-29-2021,110.64566910118792,119.41409217253468,109.5047,119.41409217253468,1867571388,25372061267.87963
Nov-28-2021,113.20189081134308,113.76168020611723,101.872510533006,110.78618030564,1833044367.1111112,24154052855.941704
Nov-27-2021,103.97814207961969,117.89518263927596,103.65726570926232,113.04433051391456,1932561549.3333333,24603233442.47522
Nov-26-2021,119.19827623388532,119.61889648840032,102.10957826617523,104.43599037662392,2535144756.4444447,24840651627.17788
Nov-25-2021,115.3299,129.9533,114.6576,119.12587295393196,3120692035.5555553,27533540065.750732
Nov-24-2021,124.0069651466327,124.523,113.04810319774872,115.3249,2584183121.7777777,26558875675.164104
Nov-23-2021,134.79036192890257,136.46059790175363,122.27203257190442,123.47492271100944,3673658264.888889,29093893807.116493
Nov-22-2021,129.01771539153492,144.93508225064497,126.6191,134.6268,5199124390.489511,30171826989.238434
Nov-21-2021,125.88513298920545,146.17592919191333,123.96976072779806,128.69198616508427,4316898555.555555,29480930635.7414
Nov-20-2021,112.174865884244,129.6635,112.174865884244,125.82769982416424,2702831584.888889,26511831153.293026
Nov-19-2021,100.20172377286468,111.91578580881664,96.1802,111.91578580881664,2831911289.7777777,23247512769.560543
Nov-18-2021,107.8491,110.10611414743028,93.2328,98.5889,3264920242.6666665,22619941824.35709
Nov-17-2021,98.1244574644182,109.93024077666186,92.1738,107.8946,3394639399.111111,22206041553.43457
Nov-16-2021,93.8478,101.7225841320148,84.779,98.9277,2215733355.111111,20245554200.489525
Nov-15-2021,95.43592334578808,101.45563225783803,92.819,93.87152291611864,1860895182.3216784,21391933830.06599
Nov-14-2021,97.2468,99.7301,91.9095,95.38879726963904,1977154761.5888503,21033504726.987946
Nov-13-2021,84.89269064164226,98.3191744431701,84.89269064164226,97.53648780627636,1046241640.5853659,19860856654.669384
Nov-12-2021,87.9537817914144,89.74997815101058,81.66212332414997,84.98458042794493,927440257.3333334,18809610185.44752
Nov-11-2021,85.46253954957258,89.29761796757715,84.04921486292199,88.00013951858257,1637359157.5555556,19303985488.452816
